contest_id:403
contest_short_name:State Assembly, District 17
reporting_time: 2016-11-09 00:00:35
total_precincts:346
precincts_reporting:346
contest_hash:c4231621dbfc12402e8060a2c43e507421eaa2b9a7eb20f789794cf588ca0a57
---
district_id|subtotal_type|RSReg|RSCst|RSTot|RSRej|RSUnc|RSUnd|RSOvr|4812:DAVID CHIU|4813:ALEJANDRO FERNANDEZ
*|TO|298938|158051|158051|0|0|23539|44|18471|115997
*|ED|298938|74785|74785|0|0|13631|18|8437|52699
*|MV|298938|83266|83266|0|0|9908|26|10034|63298
PCT1141|ED|1047|235|235|0|0|43|0|36|156
PCT1141|MV|1047|283|283|0|0|23|0|44|216
PCT1142|ED|858|223|223|0|0|60|0|29|134
PCT1142|MV|858|238|238|0|0|36|0|45|157
PCT1143|ED|1056|265|265|0|0|52|0|40|173
PCT1143|MV|1056|267|267|0|0|32|0|52|183
PCT1144|ED|928|239|239|0|0|57|0|44|138
PCT1144|MV|928|237|237|0|0|27|0|35|175
PCT1145|ED|931|200|200|0|0|41|0|32|127
PCT1145|MV|931|274|274|0|0|25|0|35|214
PCT1146|ED|1036|215|215|0|0|50|0|40|125
PCT1146|MV|1036|327|327|0|0|43|0|41|243
PCT1147|ED|927|226|226|0|0|47|0|33|146
PCT1147|MV|927|242|242|0|0|26|1|35|180
PCT1148|ED|992|230|230|0|0|52|1|47|130
PCT1148|MV|992|238|238|0|0|26|0|47|165
PCT1149|ED|950|250|250|0|0|55|0|35|160
PCT1149|MV|950|228|228|0|0|24|1|37|166
PCT1152|ED|898|203|203|0|0|39|0|39|125
PCT1152|MV|898|236|236|0|0|36|0|39|161
PCT1153|ED|961|252|252|0|0|61|0|42|149
PCT1153|MV|961|242|242|0|0|23|0|46|173
PCT7001|ED|742|186|186|0|0|33|0|15|138
PCT7001|MV|742|201|201|0|0|22|0|22|157
PCT7002|ED|1225|251|251|0|0|42|0|26|183
PCT7002|MV|1225|354|354|0|0|56|0|38|260
PCT7003|ED|927|255|255|0|0|46|0|24|185
PCT7003|MV|927|315|315|0|0|35|0|36|244
PCT7004|ED|896|240|240|0|0|36|0|26|178
PCT7004|MV|896|307|307|0|0|38|0|32|237
PCT7005|ED|853|282|282|0|0|55|0|16|211
PCT7005|MV|853|261|261|0|0|30|0|26|205
PCT7006|ED|966|261|261|0|0|52|0|29|180
PCT7006|MV|966|254|254|0|0|37|0|23|194
PCT7007|ED|987|279|279|0|0|32|0|19|228
PCT7007|MV|987|293|293|0|0|44|1|22|226
PCT7008|ED|882|267|267|0|0|45|0|30|192
PCT7008|MV|882|300|300|0|0|17|0|40|243
PCT7009|ED|931|214|214|0|0|38|0|26|150
PCT7009|MV|931|282|282|0|0|32|0|28|222
PCT7011|ED|1063|172|172|0|0|35|0|15|122
PCT7011|MV|1063|212|212|0|0|23|0|19|170
PCT7012|ED|1034|304|304|0|0|52|0|34|218
PCT7012|MV|1034|299|299|0|0|30|0|31|238
PCT7013|ED|733|171|171|0|0|33|0|17|121
PCT7013|MV|733|223|223|0|0|27|0|19|177
PCT7014|ED|1073|285|285|0|0|46|0|31|208
PCT7014|MV|1073|310|310|0|0|40|0|25|245
PCT7015|ED|113|0|0|0|0|0|0|0|0
PCT7015|MV|113|43|43|0|0|4|0|6|33
PCT7016|ED|977|172|172|0|0|39|0|14|119
PCT7016|MV|977|170|170|0|0|25|0|22|123
PCT7017|ED|786|137|137|0|0|29|0|17|91
PCT7017|MV|786|144|144|0|0|16|1|19|108
PCT7018|ED|992|164|164|0|0|34|0|25|105
PCT7018|MV|992|275|275|0|0|27|0|35|213
PCT7019|ED|945|198|198|0|0|29|0|26|143
