contest_id:598
contest_short_name:Board of Supervisors, District 1
reporting_time: 2016-11-09 00:00:35
total_precincts:48
precincts_reporting:48
contest_hash:c4231621dbfc12402e8060a2c43e507421eaa2b9a7eb20f789794cf588ca0a57
---
district_id|subtotal_type|RSReg|RSCst|RSTot|RSRej|RSUnc|RSWri|RSUnd|RSOvr|RSExh|3790:AMY FARAH WEISS|3789:ELLEN LEE ZHOU|4969:MICHELLE BRAVO|4970:LONDON BREED|3786:MARK LENO|3788:JANE KIM|3785:RICHIE GREENBERG|3787:ANGELA ALIOTO
*|TO|43818|23686|22184|1502|0|0|1605|116|0|497|377|7504|707|2298|517|408|8155
*|ED|43818|12211|11760|451|0|0|1100|56|0|220|172|3781|355|996|245|235|4600
*|MV|43818|11475|10424|1051|0|0|505|60|0|277|205|3723|352|1302|272|173|3555
PCT7101|ED|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PCT7101|MV|150|72|72|0|0|0|9|1|0|1|1|26|2|6|1|2|23
PCT9101|ED|899|274|263|11|0|0|28|1|0|4|3|90|7|25|5|6|94
PCT9101|MV|899|265|238|27|0|0|11|5|0|8|10|78|10|20|9|3|84
PCT9102|ED|989|275|266|9|0|0|22|1|0|6|0|93|11|13|10|3|107
PCT9102|MV|989|265|248|17|0|0|5|2|0|2|7|95|9|27|14|5|82
PCT9103|ED|971|278|268|10|0|0|23|3|0|8|5|97|9|26|5|8|84
PCT9103|MV|971|245|228|17|0|0|13|1|0|8|5|88|17|25|5|4|62
PCT9104|ED|1004|244|237|7|0|0|20|0|0|5|2|78|9|25|4|3|91
PCT9104|MV|1004|268|241|27|0|0|12|0|0|7|6|84|6|28|10|6|82
PCT9105|ED|975|287|280|7|0|0|29|0|0|5|2|106|5|18|3|8|104
PCT9105|MV|975|256|235|21|0|0|17|1|0|9|5|95|10|23|5|8|62
PCT9106|ED|938|270|261|9|0|0|17|0|0|5|4|108|11|21|4|5|86
PCT9106|MV|938|294|266|28|0|0|13|0|0|4|2|125|3|29|6|4|80
PCT9107|ED|859|251|245|6|0|0|25|1|0|8|2|81|11|18|5|2|92
PCT9107|MV|859|208|187|21|0|0|4|1|0|5|6|72|12|18|9|4|56
PCT9108|ED|815|258|250|8|0|0|14|0|0|7|4|86|10|18|5|5|101
PCT9108|MV|815|188|173|15|0|0|13|0|0|2|2|63|4|28|6|1|54
PCT9109|ED|875|280|266|14|0|0|33|1|0|1|11|100|6|12|2|16|84
PCT9109|MV|875|249|232|17|0|0|13|2|0|4|2|91|8|24|5|11|72
PCT9111|ED|785|234|229|5|0|0|28|4|0|2|10|64|4|11|3|5|98
PCT9111|MV|785|172|156|16|0|0|10|0|0|1|11|57|1|18|6|0|52
PCT9112|ED|975|271|268|3|0|0|26|1|0|1|2|97|7|22|5|3|104
PCT9112|MV|975|271|253|18|0|0|9|1|0|5|3|121|5|23|4|4|78
PCT9113|ED|1008|294|284|10|0|0|24|0|0|4|3|115|8|16|6|5|103
PCT9113|MV|1008|287|267|20|0|0|19|0|0|2|5|101|9|24|9|5|93
PCT9114|ED|913|267|264|3|0|0|29|1|0|3|6|81|5|24|2|3|110
PCT9114|MV|913|226|200|26|0|0|15|0|0|7|3|60|4|31|5|4|71
PCT9115|ED|948|254|239|15|0|0|15|4|0|4|4|69|4|17|4|2|116
PCT9115|MV|948|240|211|29|0|0|6|0|0|7|3|88|5|19|11|6|66
PCT9116|ED|986|285|276|9|0|0|15|3|0|4|3|69|5|28|8|11|130
PCT9116|MV|986|253|233|20|0|0|15|2|0|1|2|78|9|26|3|6|91
PCT9117|ED|785|217|194|23|0|0|10|0|0|3|2|80|7|10|3|3|76
PCT9117|MV|785|256|222|34|0|0|5|4|0|8|1|89|11|25|3|2|74
PCT9118|ED|987|250|242|8|0|0|19|1|0|7|4|67|5|24|9|6|100
PCT9118|MV|987|244|212|32|0|0|13|2|0|10|5|66|14|35|5|3|59
PCT9119|ED|911|241|230|11|0|0|23|2|0|2|4|70|10|18|8|1|92
PCT9119|MV|911|257|236|21|0|0|8|3|0|2|1|77|9|44|8|6|78
PCT9121|ED|950|275|265|10|0|0|18|1|0|6|5|97|13|23|5|8|89
PCT9121|MV|950|217|197|20|0|0|6|1|0|9|2|73|5|40|2|1|58
PCT9122|ED|976|230|225|5|0|0|21|0|0|7|5|64|8|17|4|9|90
PCT9122|MV|976|241|225|16|0|0|8|1|0|9|3|66|9|34|9|2|84
PCT9123|ED|902|238|232|6|0|0|19|3|0|5|5|71|15|17|7|2|88
PCT9123|MV|902|218|200|18|0|0|7|1|0|5|1|59|12|30|5|8|72
PCT9124|ED|940|225|214|11|0|0|16|2|0|7|4|74|5|19|3|5|79
PCT9124|MV|940|230|213|17|0|0|12|1|0|3|8|92|6|23|4|0|64
PCT9125|ED|911|243|232|11|0|0|17|1|0|4|14|66|9|19|4|5|93
PCT9125|MV|911|236|217|19|0|0|7|0|0|18|13|79|0|32|6|6|56
PCT9126|ED|978|238|230|8|0|0|25|1|0|4|5|74|9|18|4|3|87
PCT9126|MV|978|304|284|20|0|0|11|2|0|16|7|90|8|52|4|5|89
PCT9127|ED|985|296|275|21|0|0|15|1|0|4|5|97|5|33|4|9|102
PCT9127|MV|985|235|218|17|0|0|11|1|0|2|10|67|2|29|9|6|81
PCT9128|ED|859|268|257|11|0|0|19|0|0|4|2|106|4|25|5|5|87
PCT9128|MV|859|227|211|16|0|0|6|1|0|11|2|76|3|32|1|2|77
PCT9129|ED|772|232|224|8|0|0|23|1|0|2|0|76|4|20|3|6|89
PCT9129|MV|772|175|158|17|0|0|7|0|0|7|4|47|8|17|3|4|61
PCT9131|ED|806|232|217|15|0|0|13|0|0|1|3|79|2|18|5|3|93
PCT9131|MV|806|198|184|14|0|0|11|1|0|9|2|62|4|25|4|1|65
PCT9132|ED|898|247|243|4|0|0|28|1|0|3|2|61|6|16|5|4|117
PCT9132|MV|898|209|184|25|0|0|6|0|0|2|3|60|4|22|7|1|79
PCT9133|ED|1083|259|253|6|0|0|22|1|0|3|4|65|9|25|1|12|111
PCT9133|MV|1083|316|292|24|0|0|11|2|0|13|4|100|5|34|11|2|110
PCT9134|ED|937|219|208|11|0|0|41|3|0|5|0|42|2|18|5|6|86
PCT9134|MV|937|267|230|37|0|0|14|0|0|12|7|73|5|34|5|2|78
PCT9135|ED|831|211|206|5|0|0|14|3|0|4|4|70|13|16|14|4|64
PCT9135|MV|831|237|220|17|0|0|10|2|0|8|4|67|24|22|14|3|66
PCT9136|ED|952|275|266|9|0|0|21|2|0|10|0|80|7|20|8|4|114
PCT9136|MV|952|237|214|23|0|0|7|1|0|7|5|69|7|26|6|1|85
PCT9137|ED|977|259|239|20|0|0|19|0|0|6|3|91|3|27|2|3|85
PCT9137|MV|977|258|230|28|0|0|7|3|0|2|4|89|10|30|4|4|77
PCT9138|ED|930|242|234|8|0|0|20|1|0|4|2|82|6|18|5|4|92
PCT9138|MV|930|277|259|18|0|0|7|2|0|6|3|101|7|35|3|2|93
PCT9139|ED|1004|267|257|10|0|0|27|1|0|10|6|87|13|28|5|1|79
